Supply,Amount,Unit Price,Total Price,Artist Fee,Platform Fee
155100.0,5600,1.836729,10478.293606,1571.7440408999998,523.9146803
160800.0,5700,1.885262,10943.421944,1641.5132916,547.1710972
166600.0,5800,1.934129,11420.231235,1713.03468525,571.0115617499999
172500.0,5900,1.983328,11908.802974,1786.3204461,595.4401487
178500.0,6000,2.032854,12409.21782,1861.3826729999998,620.4608910000001
184600.0,6100,2.082706,12921.555623,1938.23334345,646.0777811500001
190800.0,6200,2.132881,13445.895444,2016.8843166,672.2947722
197100.0,6300,2.183374,13982.315573,2097.34733595,699.11577865
203500.0,6400,2.234184,14530.893554,2179.6340331,726.5446777000001
210000.0,6500,2.285309,15091.706197,2263.75592955,754.58530985
216600.0,6600,2.336744,15664.829603,2349.7244404499997,783.24148015
223300.0,6700,2.388488,16250.339175,2437.55087625,812.51695875
230100.0,6800,2.440538,16848.30964,2527.2464459999997,842.415482
237000.0,6900,2.492891,17458.81506,2618.822259,872.9407530000001
244000.0,7000,2.545545,18081.928853,2712.28932795,904.0964426500001
251100.0,7100,2.598498,18717.723803,2807.65857045,935.8861901500001
258300.0,7200,2.651747,19366.272075,2904.94081125,968.3136037500001
265600.0,7300,2.70529,20027.645232,3004.1467847999998,1001.3822616
273000.0,7400,2.759124,20701.914246,3105.2871369,1035.0957123
280500.0,7500,2.813248,21389.14951,3208.3724264999996,1069.4574755
288100.0,7600,2.867659,22089.42085,3313.4131274999995,1104.4710425
295800.0,7700,2.922354,22802.797541,3420.41963115,1140.13987705
303600.0,7800,2.977333,23529.348314,3529.4022471,1176.4674157
311500.0,7900,3.032592,24269.141369,3640.37120535,1213.4570684500002
319500.0,8000,3.08813,25022.244387,3753.3366580499996,1251.11221935
327600.0,8100,3.143945,25788.724536,3868.3086804,1289.4362268000002
335800.0,8200,3.200034,26568.648487,3985.2972730499996,1328.43242435
344100.0,8300,3.256397,27362.082421,4104.312363149999,1368.10412105
352500.0,8400,3.31303,28169.092036,4225.363805399999,1408.4546018
361000.0,8500,3.369932,28989.74256,4348.461383999999,1449.487128
369600.0,8600,3.427101,29824.09876,4473.614814,1491.204938
378300.0,8700,3.484536,30672.224945,4600.83374175,1533.6112472500001
387100.0,8800,3.542235,31534.184983,4730.127747449999,1576.70924915
396000.0,8900,3.600195,32410.042301,4861.50634515,1620.5021150500002
405000.0,9000,3.658416,33299.859898,4994.9789847,1664.9929949000002
414100.0,9100,3.716895,34203.700352,5130.555052799999,1710.1850176
423300.0,9200,3.775631,35121.625824,5268.2438736,1756.0812912000001
432600.0,9300,3.834622,36053.698071,5408.05471065,1802.68490355
442000.0,9400,3.893867,36999.978445,5549.99676675,1849.99892225
451500.0,9500,3.953364,37960.52791,5694.079186499999,1898.0263955
461100.0,9600,4.013111,38935.40704,5840.311056,1946.770352
470800.0,9700,4.073108,39924.676029,5988.70140435,1996.23380145
480600.0,9800,4.133352,40928.394696,6139.2592044,2046.4197348000002
490500.0,9900,4.193841,41946.622496,6291.9933744,2097.3311248000005
500500.0,10000,4.254576,42979.418517,6446.912777549999,2148.97092585
510600.0,10100,4.315554,44026.841495,6604.02622425,2201.34207475
520800.0,10200,4.376773,45088.949812,6763.3424718,2254.4474906
